binned_combo,count
35.0;50.0;85.0,251
35.0;60.0;95.0,248
45.0;60.0;105.0,242
15.0;75.0;85.0,240
50.0;60.0;105.0,238
45.0;55.0;100.0,237
35.0;45.0;75.0,236
35.0;50.0;80.0,234
45.0;50.0;90.0,233
15.0;80.0;90.0,232
35.0;75.0;105.0,231
35.0;55.0;85.0,231
15.0;65.0;75.0,230
45.0;55.0;95.0,228
20.0;85.0;105.0,227
35.0;75.0;110.0,226
35.0;70.0;105.0,224
35.0;70.0;100.0,224
35.0;60.0;90.0,224
40.0;50.0;90.0,222
20.0;80.0;95.0,222
20.0;65.0;85.0,222
20.0;70.0;85.0,222
30.0;60.0;90.0,222
20.0;60.0;75.0,221
30.0;55.0;80.0,221
15.0;70.0;85.0,220
60.0;70.0;125.0,220
15.0;50.0;65.0,220
35.0;65.0;95.0,219
35.0;65.0;100.0,218
40.0;80.0;115.0,217
35.0;80.0;110.0,217
35.0;45.0;80.0,216
20.0;95.0;110.0,216
55.0;60.0;115.0,216
30.0;35.0;60.0,214
35.0;85.0;115.0,214
55.0;70.0;120.0,214
15.0;70.0;80.0,213
50.0;60.0;110.0,212
35.0;40.0;70.0,212
15.0;85.0;95.0,212
40.0;70.0;110.0,212
35.0;85.0;120.0,211
50.0;70.0;120.0,211
40.0;50.0;85.0,211
35.0;55.0;90.0,211
30.0;50.0;80.0,209
35.0;90.0;125.0,209
30.0;55.0;85.0,208
50.0;80.0;130.0,208
45.0;50.0;95.0,207
40.0;70.0;105.0,207
20.0;55.0;70.0,207
50.0;85.0;135.0,207
40.0;55.0;90.0,207
50.0;65.0;115.0,206
15.0;75.0;90.0,206
40.0;45.0;80.0,206
15.0;55.0;65.0,205
65.0;70.0;130.0,205
45.0;70.0;115.0,205
50.0;75.0;120.0,204
50.0;85.0;130.0,204
20.0;75.0;95.0,203
20.0;90.0;105.0,202
55.0;65.0;115.0,202
20.0;65.0;80.0,201
45.0;70.0;110.0,201
30.0;85.0;110.0,201
45.0;75.0;115.0,200
15.0;40.0;50.0,200
15.0;80.0;95.0,200
30.0;70.0;95.0,200
50.0;55.0;100.0,200
40.0;85.0;125.0,199
20.0;50.0;70.0,199
40.0;75.0;110.0,199
35.0;80.0;115.0,198
55.0;60.0;110.0,198
55.0;65.0;120.0,197
55.0;70.0;125.0,197
65.0;70.0;135.0,197
15.0;60.0;70.0,196
20.0;40.0;55.0,196
30.0;80.0;105.0,196
55.0;80.0;135.0,195
50.0;55.0;105.0,195
30.0;75.0;105.0,195
30.0;65.0;95.0,195
30.0;85.0;115.0,195
50.0;65.0;110.0,195
40.0;45.0;85.0,194
40.0;75.0;115.0,194
30.0;65.0;90.0,193
25.0;70.0;90.0,193
15.0;45.0;60.0,193
50.0;70.0;115.0,192
30.0;50.0;75.0,191
20.0;35.0;50.0,191
40.0;65.0;100.0,191
25.0;35.0;60.0,190
